Author,al1Null,data is scraped from sullygnome.com
average_length,average_viewers,created,followers,language,mature,partnered,streamer_name
191,33,10th Apr 2020,1132,Korean,False,False,뮤_아_ (myu_ah_)
206,214,17th Mar 2015,10742,Chinese,False,True,奈奈奈奈奈兒 (nai0529)
161,9,14th Mar 2014,1633,English,False,False,namnamsian
347,116,4th Jul 2014,37003,English,False,True,Nana
14,4409,17th Mar 2017,198607,Korean,False,True,우정잉 (nanajam777)
345,1655,22nd Oct 2016,141375,Korean,False,True,나나양 (nanayango3o)
272,802,25th Jul 2015,64802,Chinese,False,True,妮婭 (nancy840325)
180,20,29th Apr 2015,1811,English,False,False,NankishD
168,216,27th Dec 2018,34831,Korean,False,True,나리땽 (nariddyang)
428,668,6th Apr 2013,137152,English,False,True,Natsumiii
224,93,19th Feb 2015,47879,Korean,False,True,Neko
205,53,19th Apr 2020,1397,Japanese,False,False,NegiNeko_Tokyo
204,62,5th Jan 2018,13304,English,False,True,Nic0le
194,46,19th Aug 2016,6534,Chinese,False,True,妖乖 (nicemonsteroh)
229,165,29th Sep 2018,15325,Korean,False,True,니네언니 (nineunni)
138,30,1st May 2017,6279,English,False,False,niwenwen
300,420,28th Aug 2018,44550,Korean,False,True,연나비님 (nnabi)
426,838,4th Nov 2018,106648,Korean,False,True,노부기_ (nobugi)
169,252,22nd Nov 2015,6342,English,False,False,nohaileeno
195,121,22nd Jan 2015,27928,English,False,True,NoJennyNo
309,92,19th Aug 2018,5052,English,False,False,nomiadic_kim
607,90,5th Jul 2016,16180,Thai,False,True,nty1997
356,26,18th Dec 2019,2562,Korean,False,False,팥찌 (nuclear0920)
263,32,3rd Sep 2017,4980,English,False,True,nukella
223,116,12th May 2013,5686,English,False,True,nurri
394,20,19th May 2018,892,English,False,False,nursenaneki
448,377,7th Mar 2018,16238,Korean,False,True,징가ㅇ3ㅇ (o3ojingga)
412,218,6th Nov 2016,22634,English,False,True,ohaidiana
159,227,20th Oct 2014,101795,English,False,True,OHLANA
376,1064,21st Jun 2017,97542,Korean,False,True,박옥자누나 (ok_ja)
226,45,26th Jan 2019,2882,Japanese,False,False,olive_sp
156,29,26th Dec 2019,1877,English,False,False,OliviaYolovia
194,72,24th Feb 2019,4948,English,False,False,onebizarrepeach
310,19,19th Jan 2017,704,Korean,False,False,미니핀아리 (orsten1102)
223,107,29th May 2018,6360,Korean,False,False,강민정_ (orzr10z)
156,368,28th Feb 2019,130672,Korean,False,True,오요_ (oyozzz)
779,73,30th Jul 2018,92077,Thai,False,True,PANGCHOM
267,306,15th Sep 2017,32467,Korean,False,True,박잔디 (parkjand)
252,310,21st Jan 2018,13783,English,False,True,pealeaf
236,671,29th Jun 2014,200662,Korean,False,True,ぺにょ (penyo_)
352,553,12th Oct 2011,111630,English,False,True,peyzki
114,24,26th Feb 2020,11555,English,False,False,pink_puzzle
175,38,29th Jul 2019,1623,Korean,False,False,꽃지닝 (pinkholic93)
502,18,27th Oct 2015,827,English,False,False,PinkRicecake
164,3,24th Mar 2020,114,English,False,False,PlanetJAYDA
200,6,29th Jul 2017,191,Korean,False,False,레나___ (plenaq)
495,239,21st Sep 2015,35201,English,False,True,ploo
190,21,31st Mar 2019,5618,English,False,True,ploythecat
222,71,24th Jul 2017,4150,English,False,False,POPOnut
271,2786,20th Mar 2020,168501,English,False,True,PotasticP
426,120,7th Dec 2018,17673,English,False,True,ppim
137,1435,27th Oct 2016,113560,Korean,False,True,PPOMODOLI
416,84,26th Oct 2016,16862,Korean,False,True,예블리 (pqf1234)
241,31,23rd Oct 2019,1585,English,False,False,primrose_rosy
298,152,8th May 2013,27094,English,False,True,Qilin
389,256,9th Aug 2016,86886,Korean,False,True,후즈 (queenhuz)
304,25,23rd Feb 2018,1113,English,False,False,QueenPams
386,134,9th Jul 2018,16049,Korean,False,True,여름이0908 (qufakwdywjd)
179,154,16th Nov 2015,20395,English,False,False,quqco
268,40,6th Jun 2020,1387,Korean,False,False,백라빈 (rabinking)
316,66,10th Nov 2016,2021,Chinese (Hong Kong SAR),False,False,RachelW
350,17,20th Oct 2019,488,English,False,False,rachikimi
279,27,1st Jan 2020,3647,Korean,False,False,쏨야찌 (radada_)
217,1051,22nd Feb 2020,161796,English,False,True,Raelilblack
906,877,14th Sep 2016,81472,English,False,True,Raeyei
164,117,15th Nov 2018,20667,Korean,False,False,아임레이나 (rainamoment)
234,23,13th Jul 2019,718,Korean,False,False,람람백과 (ramramey)
200,169,21st Jun 2016,41778,English,False,True,Raquel
222,144,24th Jun 2018,9910,Japanese,False,True,reika_kyochannel
451,182,9th Feb 2015,80418,Korean,False,True,렘쨩 (remguri)
222,7,22nd Feb 2018,649,English,False,False,ren_250
153,56,17th Jun 2020,333,English,False,False,려니쉬 (ryeonish)
191,9,30th Jul 2014,122,English,False,False,RicePandah
233,195,18th Oct 2017,33726,English,False,True,rilaccoco
296,2008,8th Jan 2017,64829,Korean,False,True,강소연 (rkdthdus930)
434,2201,1st Mar 2017,488461,Korean,False,True,강지 (rkdwl12)
224,15,26th Mar 2019,15496,Korean,False,False,로즈바리 (rosebari)
414,2299,30th Jul 2013,210701,Korean,False,True,연두는말안드뤄 (rudbeckia7)
284,350,19th Jan 2019,146321,Korean,False,True,룬레이 (runray_)
313,15,7th Jul 2019,1616,Korean,False,False,코팜 (ryusaei92)
95,120,26th Feb 2020,5336,English,False,True,ryusera
415,1399,4th Nov 2016,175364,Korean,False,True,삐부 (s1032204)
675,5665,29th May 2012,568308,Korean,False,True,서새봄냥 (saddummy)
515,1383,8th Nov 2016,200374,Korean,False,True,금사향 (sah_yang)
283,23,27th Aug 2018,1453,Korean,False,False,여노쨩 (sailorm09)
296,58,24th Sep 2016,24195,English,False,True,sailorsalty
228,95,15th Jun 2018,4802,English,False,True,sakura_ko
213,157,26th May 2018,19437,English,False,True,SAKURAsenpaiJAPAN
210,42,23rd Aug 2017,1159,Chinese,False,False,莎拉莎拉 (sarasweetie)
463,214,19th Oct 2019,8684,Korean,False,False,쿠하1 (sees360)
637,194,28th Sep 2016,27320,Chinese,False,True,自私兒 (selfish77)
206,47,17th Nov 2016,8913,Korean,False,True,전서연 (seoyeon1994)
130,18,13th Jan 2020,1238,Korean,False,False,메맨데스 (seoyuna39)
307,14,8th Oct 2018,831,Korean,False,False,감자연 (sewon953)
111,4,22nd Oct 2015,137,Chinese,False,False,想被餵食奶茶的阿湜 (shaoyao__)
273,10,13th Oct 2014,713,English,False,False,ShellStreams
320,32,10th Mar 2020,1232,Korean,False,False,신시아양 (shin_sia)
218,10,17th Feb 2019,1565,Korean,False,False,신딩_ (shinding2)
